rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_ply
FALSE,53,mate,white,978,1500,A80,2
FALSE,36,resign,black,1500,978,A20,2
TRUE,8,resign,white,1521,1162,A04,2
TRUE,3,resign,white,1407,1500,B23,3
TRUE,28,resign,white,1492,1458,C26,5
TRUE,30,resign,black,1414,1442,C41,8
TRUE,44,resign,black,1457,1294,C44,5
TRUE,29,resign,white,1525,1466,C41,6
TRUE,37,resign,black,1207,1579,C00,3
TRUE,49,resign,white,1567,1573,A40,2
TRUE,32,resign,black,1578,1605,A40,2
TRUE,25,resign,white,1939,1581,E10,6
TRUE,40,mate,black,1618,1568,C00,2
TRUE,39,resign,white,1755,1574,A04,2
TRUE,57,resign,white,1561,1596,A45,2
TRUE,78,resign,black,1500,1554,C00,3
TRUE,61,resign,white,1544,1461,D00,3
TRUE,44,resign,black,1563,1335,D00,3
TRUE,62,mate,black,1579,1470,A41,2
TRUE,87,mate,white,1617,1590,A45,2
TRUE,54,mate,black,1207,1588,C02,7
TRUE,54,resign,black,1595,1547,D00,3
TRUE,37,resign,white,1855,1599,C01,5
TRUE,50,resign,white,1589,1547,A40,2
TRUE,131,resign,white,1571,1728,D02,5
TRUE,48,resign,white,1720,1579,C00,3
TRUE,47,resign,black,1579,2105,D02,5
TRUE,64,mate,black,1768,1560,C00,3
TRUE,61,resign,white,1552,1436,D00,3
TRUE,57,mate,white,1536,1667,D02,5
TRUE,51,resign,white,1521,1549,A10,2
TRUE,58,mate,black,1251,1545,A00,3
TRUE,71,resign,white,1537,1408,D00,3
TRUE,114,resign,white,1522,1512,A40,1
TRUE,39,resign,white,1602,1532,C18,11
TRUE,20,resign,black,1543,1593,D02,5
TRUE,48,resign,black,1556,1539,D00,3
TRUE,34,mate,black,1409,1548,C00,3
TRUE,51,resign,white,1539,1418,D02,5
TRUE,69,resign,white,1603,1550,C00,3
TRUE,28,resign,white,1542,1399,D00,4
TRUE,62,resign,black,1546,1877,D02,5
TRUE,62,mate,black,1134,1535,A47,4
TRUE,85,mate,white,1513,1784,A40,2
TRUE,38,resign,white,1501,1445,D02,5
FALSE,14,resign,white,1500,1500,C50,8
TRUE,113,draw,draw,1745,1714,D06,4
TRUE,62,resign,white,1734,1748,D06,4
TRUE,101,resign,white,1942,1739,C10,6
TRUE,75,outoftime,white,1724,1855,C45,7
TRUE,135,mate,white,1951,1729,C02,11
TRUE,81,outoftime,white,1726,1388,C41,5
TRUE,46,resign,black,1735,1806,D80,6
TRUE,70,mate,black,1597,1728,C00,3
TRUE,39,resign,white,1743,1738,C10,10
TRUE,91,resign,white,1721,1750,D30,7
TRUE,137,outoftime,white,1746,1487,D20,5
TRUE,46,resign,black,1744,1735,C02,9
TRUE,18,resign,black,1749,1631,D41,9
TRUE,28,resign,black,1769,1396,D20,5
TRUE,40,resign,black,1795,1760,A46,5
TRUE,111,mate,white,1729,1795,D31,5
TRUE,54,mate,black,1795,1784,C64,6
TRUE,33,resign,white,1770,1872,D02,3
TRUE,90,resign,black,1783,1721,D02,5
TRUE,90,resign,black,1884,1768,C64,7
TRUE,40,mate,black,1756,1756,C24,5
TRUE,49,outoftime,white,1724,1958,A43,5
TRUE,50,resign,black,2036,1706,A08,6
TRUE,59,mate,white,1706,925,D02,5
TRUE,26,outoftime,black,1244,1219,B00,4
TRUE,23,mate,white,1215,921,C50,5
TRUE,118,mate,black,1350,1201,B03,5
TRUE,66,mate,black,1210,1280,B29,4
TRUE,120,draw,draw,1139,1212,C50,8
TRUE,36,mate,black,1220,1341,C57,11
TRUE,26,mate,black,1234,1359,C55,6
TRUE,62,resign,black,1275,1236,C57,11
TRUE,37,resign,white,1433,1282,B02,3
TRUE,24,resign,black,1132,1276,D06,4
FALSE,47,resign,white,1276,1308,C55,6
TRUE,37,resign,black,1228,1266,B02,7
TRUE,24,resign,black,1273,1409,B13,5
TRUE,9,resign,white,1338,1277,D00,3
TRUE,47,mate,white,1263,1336,B57,8
TRUE,85,mate,white,1316,1273,A20,2
TRUE,39,mate,white,1248,1253,B00,2
TRUE,58,mate,black,1335,1233,E20,6
TRUE,95,mate,white,1223,1189,C57,11
TRUE,2,resign,black,1443,1204,B02,2
TRUE,97,mate,white,1227,1216,D06,4
TRUE,12,draw,draw,1215,1219,C50,5
TRUE,30,resign,white,1227,1227,C50,8
TRUE,43,mate,white,1550,1225,E11,8
TRUE,11,resign,white,1325,1234,B02,2
TRUE,72,mate,black,1212,1221,B02,5
TRUE,156,mate,black,1226,1478,C40,3
TRUE,18,resign,black,1228,1626,D30,4
FALSE,77,mate,white,1191,1228,C11,7
TRUE,32,resign,black,1422,1210,B02,5
TRUE,35,resign,white,1186,1223,C28,5
TRUE,85,mate,white,1212,1212,B06,2
TRUE,50,resign,black,1228,1343,B01,6
TRUE,111,resign,white,1865,1862,A46,5
TRUE,65,outoftime,white,1852,1852,B30,5
TRUE,73,resign,white,1833,1863,A56,4
TRUE,125,resign,white,1851,1918,B27,4
TRUE,76,resign,black,1861,1844,C55,6
TRUE,65,outoftime,white,1853,1774,C65,6
TRUE,41,mate,white,1910,1862,B90,11
TRUE,59,resign,white,1851,1890,C00,3
TRUE,70,resign,black,1860,1840,B50,5
TRUE,34,resign,white,1828,1848,B51,5
TRUE,69,outoftime,white,1855,1858,E00,1
TRUE,63,resign,white,1847,1895,C70,8
TRUE,107,resign,white,1885,1856,B50,4
TRUE,58,resign,white,1847,1802,A40,1
FALSE,34,resign,black,1847,1856,B11,6
TRUE,100,outoftime,black,1840,1837,B22,3
TRUE,80,resign,black,1848,1806,B40,4
TRUE,44,resign,black,1860,1820,C00,3
TRUE,40,outoftime,black,1854,1849,A45,3
TRUE,105,outoftime,white,1895,1859,B50,4
TRUE,50,resign,black,1866,1965,B31,6
FALSE,144,outoftime,draw,1866,1843,B50,4
FALSE,81,resign,black,1835,1866,B18,11
TRUE,69,resign,black,1877,1860,C61,6
TRUE,77,mate,white,1849,1874,B90,11
TRUE,158,mate,black,1835,1865,E10,6
TRUE,107,draw,draw,1866,1835,C55,7
TRUE,117,mate,white,1856,1829,C78,12
TRUE,44,resign,white,1845,1846,C70,8
TRUE,40,resign,black,1834,1835,B30,4
TRUE,59,resign,white,1846,1845,B10,2
FALSE,110,resign,black,1845,1917,D06,4
TRUE,30,resign,black,1858,1790,B01,4
TRUE,54,resign,black,1871,1847,B30,4
TRUE,69,resign,black,1846,1869,C41,5
TRUE,178,mate,black,1843,1836,B22,3
TRUE,136,resign,black,1800,1826,B20,2
FALSE,124,mate,black,1283,1267,B30,5
TRUE,96,resign,black,1290,1270,A00,1
TRUE,53,outoftime,white,1331,1281,D00,4
TRUE,39,mate,white,1304,1292,A00,1
TRUE,10,mate,black,1305,1293,C00,3
TRUE,51,mate,white,1308,1317,C22,8
TRUE,18,resign,black,1296,1305,C54,13
FALSE,106,mate,black,968,1305,C50,8
FALSE,38,mate,black,1293,1466,C41,5
TRUE,59,mate,white,1500,1299,C68,7
TRUE,111,mate,white,1288,1232,B12,3
TRUE,28,resign,black,1289,2108,C77,9
FALSE,101,outoftime,white,1431,1289,C22,6
FALSE,15,mate,white,1806,1289,C45,7
FALSE,42,resign,white,1289,1311,C41,5
FALSE,118,resign,black,1431,1289,A40,3
FALSE,34,resign,black,1289,1484,C50,6
FALSE,60,resign,black,1289,1810,A42,5
FALSE,66,resign,black,1806,1289,C44,5
FALSE,21,outoftime,white,1289,1500,C41,5
TRUE,73,mate,white,1409,1297,C70,8
TRUE,159,mate,white,1280,1485,C55,6
FALSE,74,resign,white,1280,1211,B01,4
FALSE,28,mate,black,1211,1280,A00,3
TRUE,112,mate,black,1281,1765,C41,6
TRUE,104,resign,black,1288,1454,C42,4
TRUE,40,mate,black,1560,1270,D07,5
TRUE,44,mate,black,1274,1534,B27,4
TRUE,150,draw,draw,1259,1663,C55,6
TRUE,60,mate,black,1614,1238,D02,5
TRUE,37,mate,white,1221,1417,C02,11
TRUE,88,outoftime,black,1222,1732,B32,7
TRUE,113,mate,white,1232,1234,C68,7
TRUE,55,mate,white,1240,1219,C42,8
TRUE,135,mate,white,1590,1600,A22,5
TRUE,137,draw,draw,1568,1617,C50,5
TRUE,97,outoftime,white,1500,1358,C46,6
FALSE,33,resign,black,1384,1325,B07,2
FALSE,29,resign,black,1384,1265,A06,3
FALSE,55,resign,black,1384,1950,A04,2
TRUE,91,resign,white,1377,1249,B01,4
TRUE,53,resign,white,1375,1389,C20,4
TRUE,49,mate,white,1378,1361,C41,5
TRUE,48,mate,black,1261,1371,B07,4
TRUE,20,resign,black,1380,1429,B30,4
TRUE,87,mate,white,1369,1368,C42,6
TRUE,11,resign,white,1290,1371,C77,9
TRUE,110,draw,draw,1372,1326,B00,2
TRUE,24,resign,white,1361,1383,A00,1
TRUE,23,resign,white,1217,1399,A22,4
TRUE,81,mate,white,1387,1447,C60,5
FALSE,34,resign,black,1474,1387,B01,2
TRUE,103,mate,white,1377,1351,C41,4
TRUE,29,resign,black,1389,1339,C40,4
FALSE,22,resign,black,1389,1400,C41,4
FALSE,38,resign,white,1849,1389,C44,5
TRUE,46,mate,black,1395,1378,C50,9
TRUE,23,outoftime,white,1370,1257,C61,6
TRUE,31,resign,white,1360,1332,B00,5
FALSE,51,resign,white,1311,1360,C21,4
FALSE,87,mate,white,1714,1360,C64,6
TRUE,31,mate,white,1354,1217,C50,5
TRUE,38,resign,black,1245,1346,D20,5
FALSE,43,resign,white,1346,1099,C55,6
TRUE,105,resign,white,1336,1287,A07,4
FALSE,87,outoftime,white,1580,1555,A10,2
FALSE,36,mate,black,1555,1580,B40,6
TRUE,38,resign,black,1649,1547,C02,6
TRUE,110,resign,black,1426,1527,C00,3
TRUE,48,resign,black,1557,1547,C70,8
FALSE,95,mate,white,1557,1607,E20,5
FALSE,70,mate,black,1607,1557,A02,1
FALSE,42,resign,white,1557,1632,B32,7
TRUE,177,outoftime,white,1535,1609,C58,11
TRUE,114,mate,black,1713,1558,A00,2
TRUE,57,resign,white,1497,1730,B00,2
TRUE,57,resign,white,1437,1552,C50,5
FALSE,82,draw,draw,1516,1552,A03,2
TRUE,29,mate,white,1513,1456,B54,5
TRUE,70,resign,black,1355,1478,C55,7
TRUE,97,mate,white,1638,1614,C55,6
TRUE,99,resign,white,1613,1934,B12,11
FALSE,74,resign,black,1865,1613,D03,5
TRUE,48,mate,black,1776,1587,D00,2
TRUE,77,mate,white,1568,1593,C10,6
TRUE,80,resign,black,1605,1546,B01,6
TRUE,35,resign,white,1518,1709,B00,5
TRUE,33,resign,white,1728,1527,D31,8
TRUE,87,mate,white,1515,1379,B01,4
TRUE,40,resign,black,1538,1501,B06,4
TRUE,54,resign,black,1511,1516,D30,4
TRUE,67,resign,black,1464,1495,C69,9
TRUE,21,mate,white,1470,1475,C40,4
TRUE,14,mate,black,1490,1440,C50,6
FALSE,71,resign,white,1611,1974,D41,18
TRUE,72,outoftime,black,1611,1945,E20,8
TRUE,62,resign,black,1584,1611,A31,5
TRUE,48,resign,black,1942,1611,A00,1
TRUE,6,outoftime,black,1217,1611,C46,6
TRUE,69,draw,draw,1611,2059,D46,12
TRUE,72,resign,white,1611,1478,B27,4
TRUE,40,mate,black,1486,1552,C44,5
TRUE,29,mate,white,1453,1496,B06,2
TRUE,44,resign,white,1340,1326,A40,2
TRUE,59,mate,white,1532,1500,C00,3
TRUE,115,resign,white,1560,1557,C34,6
TRUE,70,resign,black,1571,1577,A03,2
TRUE,36,resign,black,1580,1617,A03,2
TRUE,83,resign,white,1531,1593,C46,7
TRUE,99,draw,draw,1449,1597,C48,9
TRUE,43,resign,white,1743,1604,C34,6
TRUE,89,resign,white,1604,1614,C48,8
TRUE,96,resign,black,1550,1605,D00,3
FALSE,116,mate,black,1630,1605,C42,8
FALSE,78,mate,black,1475,1605,A00,1
FALSE,77,mate,white,1605,1475,A02,1
FALSE,70,mate,black,1475,1605,C20,3
FALSE,27,resign,white,1570,1605,C42,7
FALSE,102,resign,black,1605,1500,A02,1
FALSE,21,resign,white,1500,1605,C47,9
FALSE,33,resign,white,1605,1500,A02,1
FALSE,74,resign,black,1513,1605,C42,5
TRUE,65,resign,white,1790,1874,A00,1
TRUE,81,resign,white,1864,1805,B24,5
TRUE,45,resign,black,1496,1861,A45,3
TRUE,52,resign,white,1851,1853,C67,8
TRUE,51,resign,white,1861,1863,B11,4
TRUE,48,draw,draw,1618,1609,C00,3
TRUE,20,resign,black,1620,1607,A00,1
TRUE,50,mate,black,1621,1496,B30,5
TRUE,98,resign,black,1633,1581,C41,5
TRUE,106,mate,black,1623,1623,C60,6
TRUE,19,resign,white,1612,1614,C50,5
TRUE,22,resign,white,1605,1624,C50,8
TRUE,114,draw,draw,1693,1621,E61,4
TRUE,69,resign,black,1631,1684,B50,4
TRUE,34,mate,black,1636,1619,C53,8
TRUE,40,mate,black,1613,1617,C57,8
TRUE,108,resign,black,1627,1495,C50,6
TRUE,27,resign,white,1480,1643,C23,3
TRUE,63,resign,white,1631,1652,B30,5
TRUE,31,resign,white,1687,1641,C44,5
TRUE,71,resign,white,1630,1638,C55,6
TRUE,92,mate,black,1414,1624,C60,6
TRUE,47,mate,white,1619,1419,C57,7
TRUE,56,resign,black,1629,1659,C42,5
TRUE,48,resign,white,1649,1639,C23,3
TRUE,124,resign,black,1677,1627,A00,1
TRUE,49,mate,white,1705,1636,C45,8
TRUE,64,resign,black,1647,1635,B96,13
TRUE,29,resign,white,1637,1627,C53,7
TRUE,45,resign,white,1626,1631,C50,5
TRUE,96,resign,black,1602,1615,C34,6
TRUE,92,resign,black,1634,1603,C23,3
TRUE,40,mate,black,1611,1591,C50,9
TRUE,123,mate,white,1579,1623,C54,19
TRUE,129,mate,white,1995,1581,A05,4
TRUE,120,mate,black,1589,1569,D92,9
TRUE,71,draw,draw,1570,1555,C55,6
TRUE,97,mate,white,1559,1557,C00,3
TRUE,60,resign,white,1546,1571,A45,2
TRUE,57,resign,white,1550,1567,B21,6
TRUE,38,resign,white,1560,1419,B12,5
TRUE,111,resign,white,1840,1564,C45,8
TRUE,119,resign,black,1660,1549,A49,4
TRUE,33,mate,white,1534,1678,C41,5
TRUE,32,resign,white,1789,1538,E10,6
TRUE,96,resign,black,1841,1921,C22,8
TRUE,92,draw,draw,1926,1737,A04,2
TRUE,64,resign,black,1629,1887,D00,3
TRUE,10,resign,black,1860,1712,C37,7
TRUE,85,resign,white,1500,1568,A09,4
TRUE,40,resign,black,1780,2132,B90,10
TRUE,58,resign,black,966,1124,B01,2
TRUE,26,outoftime,black,884,951,A01,2
TRUE,4,outoftime,black,945,1070,C40,3
TRUE,118,mate,black,971,1149,B00,3
TRUE,11,mate,white,1238,985,A00,1
TRUE,163,outoftime,draw,972,1247,A20,2
TRUE,95,mate,white,1107,961,B00,4
TRUE,37,resign,black,974,1129,D00,3
TRUE,101,mate,white,1203,970,C21,3
TRUE,80,outoftime,black,998,937,C00,5
TRUE,78,resign,black,1016,1126,A00,1
TRUE,89,outoftime,draw,1025,1153,C01,4
TRUE,42,mate,black,1047,1151,D02,4
TRUE,8,outoftime,black,998,1016,C44,6
TRUE,101,outoftime,white,1127,1044,C20,3
TRUE,65,outoftime,white,1020,1200,D02,3
TRUE,60,mate,black,1069,1071,D02,4
TRUE,71,draw,draw,1071,1068,D00,3
TRUE,44,resign,black,1115,1223,D01,4
TRUE,20,resign,black,1190,1213,D01,4
TRUE,41,resign,white,1337,1337,C40,3
TRUE,40,resign,black,1500,1500,B01,2
TRUE,27,resign,white,1500,1571,C41,7
TRUE,59,resign,black,1367,1866,A00,1
TRUE,19,mate,white,1590,1373,B00,2
TRUE,50,mate,black,1377,1667,A00,1
TRUE,34,resign,black,1558,1358,C88,15
TRUE,15,mate,white,1476,1367,B00,2
TRUE,52,resign,black,1376,1469,A00,1
TRUE,65,mate,white,1460,1386,B00,2
TRUE,67,resign,white,1372,1408,C41,5
TRUE,31,resign,black,1373,2148,B40,4
FALSE,130,mate,black,1500,1395,C00,2
TRUE,125,mate,white,1382,1414,C01,5
TRUE,76,resign,black,1320,1400,C00,3
TRUE,121,resign,white,1383,1330,A46,3
FALSE,53,resign,white,1383,1242,D02,3
TRUE,116,outoftime,black,1469,1357,C02,9
FALSE,47,resign,white,959,1357,A00,4
FALSE,53,resign,white,1357,959,D00,3
FALSE,76,mate,black,959,1357,A00,4
TRUE,110,draw,draw,1588,1691,C50,8
TRUE,67,mate,white,1541,1586,B34,9
TRUE,17,resign,white,1517,1320,C40,4
TRUE,39,mate,white,1569,1569,A01,2
TRUE,94,resign,black,1563,1498,C03,5
TRUE,37,resign,white,1903,1512,E20,8
TRUE,37,mate,white,1612,1450,B13,5
FALSE,34,resign,white,1327,1450,B00,3
FALSE,41,outoftime,white,1245,1450,B12,5
FALSE,30,resign,black,1921,1451,C40,4
TRUE,51,resign,white,1462,1464,A00,3
TRUE,79,mate,white,1450,1486,C33,6
TRUE,83,resign,white,1439,1418,C33,5
TRUE,14,resign,black,1728,1500,C55,6
TRUE,21,resign,white,1547,1563,B02,4
TRUE,47,resign,white,1863,1567,B02,2
TRUE,38,resign,white,1559,1423,A40,2
TRUE,34,resign,black,1570,1611,B06,7
TRUE,39,resign,white,1562,1582,B03,6
TRUE,43,resign,white,1576,1386,D00,3
TRUE,41,mate,white,1353,1595,B10,3
TRUE,49,resign,white,1591,1326,D00,3
TRUE,38,outoftime,black,1560,1580,B02,4
TRUE,70,outoftime,black,1727,1574,B01,4
TRUE,48,resign,black,1579,1841,E00,4
TRUE,50,resign,black,1877,1558,C11,11
TRUE,57,resign,white,1536,1962,A45,3
TRUE,148,outoftime,draw,1529,1763,D00,3
TRUE,62,mate,black,1590,1515,B01,4
TRUE,29,resign,white,1653,1522,A80,2
TRUE,52,mate,black,1675,1505,B01,6
TRUE,26,mate,black,1547,1491,B01,6
TRUE,59,resign,black,1507,1399,A40,2
TRUE,2,draw,draw,1641,1502,B01,2
TRUE,195,draw,draw,1496,1703,A48,5
TRUE,56,resign,black,1482,1484,B01,4
TRUE,40,resign,black,1486,1909,A40,2
TRUE,31,mate,white,1919,1488,A11,2
TRUE,60,resign,black,1488,2192,A45,2
TRUE,45,resign,white,1470,1684,D00,3
TRUE,63,draw,draw,1465,1659,A81,3
TRUE,17,resign,white,1586,1473,D02,5
TRUE,34,resign,white,1548,1488,B03,6
TRUE,36,mate,black,1500,1501,A45,2
TRUE,62,mate,black,1509,1487,B05,8
TRUE,46,draw,draw,1356,1491,B01,2
TRUE,34,resign,black,1495,1771,A45,2
TRUE,38,resign,white,1529,1639,C00,3
TRUE,107,resign,white,1631,1537,C41,6
TRUE,42,resign,black,1546,1621,B54,6
TRUE,35,resign,white,1568,1636,C00,5
TRUE,122,mate,black,1354,1631,C00,5
TRUE,71,mate,white,1626,1384,B53,7
TRUE,42,resign,black,1639,1813,B06,6
TRUE,2,outoftime,black,1646,1795,D00,2
TRUE,11,resign,white,1646,939,D10,4
TRUE,54,resign,black,1657,1678,B08,8
TRUE,58,resign,white,1667,1668,B06,5
TRUE,42,resign,black,1683,1599,C30,4
TRUE,116,draw,draw,1596,1686,A40,2
TRUE,74,mate,black,1769,1659,A10,2
TRUE,54,mate,black,1668,1761,A40,2
TRUE,85,resign,white,1752,1677,A15,2
TRUE,38,resign,black,1688,1743,B43,10
TRUE,41,resign,white,1582,1704,C00,3
TRUE,121,mate,white,1693,1666,B53,7
TRUE,30,resign,black,1676,1680,C00,3
TRUE,64,resign,black,1142,1679,D00,3
TRUE,15,mate,white,1678,1148,C21,10
TRUE,40,resign,black,1154,1676,A00,1
TRUE,128,draw,draw,1686,1098,B00,2
TRUE,48,resign,black,1102,1685,A00,1
TRUE,51,mate,white,1684,1107,C01,4
TRUE,71,resign,black,1493,1678,C00,2
TRUE,60,resign,white,1525,1693,D02,3
TRUE,58,mate,black,1709,1681,A40,2
TRUE,60,resign,black,1692,1699,A03,2
TRUE,40,resign,white,1688,1704,A10,2
TRUE,29,outoftime,white,1699,1497,A11,2
TRUE,98,resign,black,1703,1943,A15,2
TRUE,71,resign,black,1694,1692,C10,6
TRUE,135,draw,draw,1696,1564,A10,2
TRUE,34,mate,black,1572,1688,C01,5
TRUE,60,mate,black,1392,1684,C07,6
TRUE,47,resign,black,1707,1696,A34,3
TRUE,23,resign,white,1684,1720,D08,7
TRUE,78,mate,black,1733,1672,A30,2
TRUE,35,mate,white,1721,1736,E61,6
TRUE,53,resign,white,1724,1733,A08,4
TRUE,120,mate,black,1746,1712,A11,2
TRUE,41,mate,white,1741,1496,A13,2
TRUE,42,resign,black,1295,1240,D11,7
TRUE,63,resign,white,1430,1302,D03,5
FALSE,23,resign,black,1302,1248,D06,4
TRUE,32,resign,black,1314,1270,D20,5
FALSE,73,resign,white,1445,1314,D31,5
TRUE,90,resign,black,1321,1451,D50,7
TRUE,41,mate,white,1300,1333,B52,6
TRUE,43,resign,white,1318,1449,D06,4
TRUE,38,resign,black,1450,1303,A73,17
TRUE,41,mate,white,1290,1367,D20,5
TRUE,84,resign,black,1300,1330,D35,9
TRUE,56,resign,black,1209,1291,A01,5
TRUE,30,resign,black,1299,1418,D31,6
FALSE,6,resign,white,1814,1299,C50,5
TRUE,67,resign,white,1348,1308,C20,3
TRUE,56,resign,black,1318,1366,D20,5
TRUE,103,resign,white,1324,1329,C44,6
TRUE,40,mate,black,1345,1187,D20,5
TRUE,52,resign,black,1352,1149,D31,5
TRUE,57,draw,draw,1350,1429,D35,10
TRUE,23,resign,white,1403,1340,A40,3
TRUE,39,mate,white,1322,1072,D20,5
TRUE,52,resign,black,1331,1382,D08,4
TRUE,41,resign,white,1373,1341,D21,6
TRUE,33,resign,white,1350,1265,C44,5
TRUE,58,resign,black,1270,1299,D00,3
TRUE,31,mate,white,1223,1282,B01,4
TRUE,15,resign,white,1289,1306,C50,8
TRUE,32,resign,black,1007,1268,C50,6
TRUE,45,resign,white,1170,1179,C21,5
TRUE,25,resign,white,1442,1183,C70,8
TRUE,15,resign,white,1172,1170,C42,5
TRUE,62,resign,black,1178,1346,B18,8
TRUE,59,resign,white,1171,1190,C53,9
TRUE,51,resign,white,1175,1329,C78,10
TRUE,22,resign,black,1273,1160,D00,2
TRUE,27,resign,white,1154,974,C41,5
TRUE,34,resign,black,1167,1122,C65,6
TRUE,79,outoftime,white,1439,1171,C70,10
TRUE,73,resign,white,1245,1170,C53,9
TRUE,74,mate,black,1250,1156,A00,1
TRUE,92,resign,black,1164,1263,C70,8
TRUE,26,resign,black,1173,1251,B30,5
TRUE,40,mate,black,1089,1165,C50,6
TRUE,77,resign,white,1278,1173,C20,3
TRUE,58,resign,black,1178,1391,C64,6
TRUE,51,mate,white,1164,1293,C70,10
TRUE,73,outoftime,white,1353,1170,C53,7
TRUE,50,mate,black,1030,1162,D02,3
TRUE,52,resign,black,1176,1118,C42,4
TRUE,11,mate,white,1353,1181,C20,4
TRUE,61,resign,white,1184,1184,C44,5
TRUE,19,resign,white,1171,1252,C42,5
TRUE,51,resign,white,1157,1234,C55,7
TRUE,12,resign,black,1034,1149,D01,4
TRUE,86,draw,draw,1156,886,C50,5
TRUE,27,mate,white,1142,1226,C00,3
TRUE,86,mate,black,1042,1133,C20,3
TRUE,61,mate,white,1123,1084,C40,6
TRUE,53,mate,white,1247,1122,C20,3
TRUE,50,mate,black,1070,1112,A00,1
TRUE,16,resign,white,1099,1173,C15,7
TRUE,110,outoftime,black,1114,1027,C00,5
TRUE,45,mate,white,914,1133,C46,5
TRUE,93,mate,white,1125,996,C42,5
TRUE,105,resign,white,1242,1125,C26,4
TRUE,60,resign,black,1133,1234,C50,6
TRUE,58,mate,black,981,1127,C70,6
TRUE,65,mate,white,1111,1219,C48,7
TRUE,56,mate,black,1126,1054,C41,5
TRUE,64,resign,black,1147,908,B00,4
TRUE,4,resign,black,914,1141,A00,1
TRUE,58,resign,black,1984,1948,B06,6
TRUE,34,resign,black,1954,2158,B23,3
FALSE,101,resign,white,2008,1954,A10,4
FALSE,35,resign,black,1954,2008,B23,5
FALSE,54,resign,black,2008,1954,A15,2
FALSE,116,resign,black,1954,2008,A01,2
TRUE,115,mate,white,2100,1960,A45,2
TRUE,48,draw,draw,1945,1961,B01,6
TRUE,56,draw,draw,1982,1960,B01,2
TRUE,54,resign,black,1974,1899,A01,2
TRUE,37,resign,white,2068,1982,B09,11
TRUE,81,resign,white,1959,2028,A01,1
TRUE,45,resign,white,2005,1969,A02,1
TRUE,161,mate,white,1960,1868,A01,2
TRUE,88,resign,black,1964,2287,B00,5
TRUE,148,draw,draw,1914,1965,B01,4
TRUE,119,mate,white,1951,2049,A01,2
TRUE,60,resign,black,2149,1933,A52,7
TRUE,34,mate,black,1599,1929,B01,6
TRUE,94,resign,black,1882,1919,B01,6
TRUE,122,mate,black,1699,1914,B01,5
TRUE,44,resign,black,1916,2285,A01,2
TRUE,26,resign,black,1936,1638,A01,5
TRUE,116,resign,black,1758,1929,B01,4
TRUE,31,resign,white,1265,1957,B00,5
TRUE,133,mate,white,1954,1578,E90,9
FALSE,65,resign,white,1984,2050,B23,4
FALSE,62,mate,black,2050,1627,A06,2
FALSE,62,resign,black,1627,2050,C00,3
FALSE,42,mate,black,2050,1627,A04,2
FALSE,42,resign,black,1627,2050,B02,2
FALSE,158,draw,draw,1617,2050,A48,5
FALSE,31,resign,white,2050,1852,B01,6
